tid,name,longtitude,latitude
2278,"savannah",-81.1038,32.0507
2279,"norwalk",-73.4083,41.1175
2280,"dublin",-6.2661,53.3428
2281,"mombasa",39.6667,-4.05
2282,"vienna",16.3726,48.2088
2283,"lake louise alberta",-116.184,51.4311
2284,"zanzibar",39.3167,-6.1333
2285,"punta gorda belize",-88.8,16.1
2286,"sihanoukville",103.5,10.6333
2287,"ocean city new jersey",-74.575,39.2775
2288,"vezelay",3.74667,47.4667
2289,"guadalupe mexico",-116.583,32.0667
2290,"geneva",6.15,46.2
2291,"arosa",9.683333,46.783333
2292,"brussels",4.35642,50.8411
2293,"seville",-5.98333,37.3833
2294,"bogota",-74.0758,4.59806
2295,"san pedro de atacama",-68.1942,-22.9147
2296,"north adams",-73.1092,42.7008
2297,"seattle",-122.333,47.6097
2298,"maplewood",-74.2739,40.7311
2299,"amenia",-73.5566,41.8494
2300,"orleans",1.905,47.9031
2301,"hunts point bronx",-73.884025,40.812601
2302,"dragor",12.6833,55.6
2303,"cairo",31.2262,30.0566
2304,"ulyanovsk",48.3852,54.3249
2305,"mogadishu",45.3426,2.04109
2306,"cabarete",-70.4083,19.7511
2307,"abu dhabi",54.38,24.47
2308,"rochester",-77.6158,43.1547
2309,"bath",-2.3667,51.3833
2310,"old lyme",-72.329,41.3159
2311,"brisbane",153.033,-27.4667
2312,"nassau",-77.3333,25.0667
2313,"monteverde",-84.825,10.3143
2314,"antwerp",4.40208,51.2209
2315,"amalfi",14.6,40.6333
2316,"las vegas",-115.136389,
2317,"aswan",32.9167,24.0667
2318,"new milford",-73.4089,41.5769
2319,"rio de janeiro",-43.2436,-22.9083
2320,"santiago de cuba",-75.8206,20.0283
2321,"mashpee",-70.4811,41.6484
2322,"lisbon",-9.1833,38.7
2323,"pucon",-71.9667,-39.2667
2324,"dumbo brooklyn",-73.989444,40.703056
2325,"tours",0.69,47.38
2326,"wellington",174.777,-41.2889
2327,"bodrum",27.4339,37.0409
2328,"santa barbara",-119.697,34.4208
2329,"orlando",-81.3794,28.5381
2330,"new castle new york",-73.768611,41.185278
2331,"courchevel",6.6339,45.415
2332,"oklahoma city",-97.5161,35.4675
2333,"belgrade",20.4622,44.8206
2334,"estoril",-9.4231,38.6983
2335,"dusseldorf",6.78278,51.2256
