tid,name,longtitude,latitude
0,"Petra (Jordan)",35.4833,30.3167
1,"Prague (Czech Republic)",14.4241,50.0878
2,"Girona (Spain)",2.82493,41.9831
3,"San Jose (Calif)",-121.895,37.3394
4,"Moscow (Russia)",37.6156,55.7522
5,"Zermatt (Switzerland)",7.75,46.0167
6,"Wengen (Switzerland)",7.91667,46.6
7,"Savannah (Ga)",-81.0998,32.0835
8,"Hollywood (Calif)",-118.327,34.0983
9,"Guilin (China)",110.286,25.2819
10,"Zihuatanejo (Mexico)",-101.55,17.6333
11,"Ouro Preto (Brazil)",-43.5081,-20.2875
12,"Mombasa (Kenya)",39.6667,-4.05
13,"Vienna (Austria)",16.3721,48.2085
14,"Pawleys Island (SC)",-79.1217,33.4296
15,"Espanola (NM)",-106.081,35.9911
16,"Wellington (New Zealand)",174.777,-41.2785
17,"Ghent (Belgium)",3.71667,51.05
18,"Puerto Vallarta (Mexico)",-105.231,20.6204
19,"Nairobi (Kenya)",36.8167,-1.28333
20,"Sihanoukville (Cambodia)",103.5,10.6333
21,"Ocean City (NJ)",-74.5746,39.2776
22,"St Mawes (England)",-5.01222,50.1594
23,"Valparaiso (Chile)",-71.6273,-33.0393
24,"Arosa (Switzerland)",9.66667,46.7833
25,"Oporto (Portugal)",-8.61667,41.15
26,"Seville (Spain)",-5.98694,37.3772
27,"Shanghai (China)",121.458,31.2222
28,"Scituate (Mass)",-70.7259,42.1959
29,"Lisbon (Portugal)",-9.13333,38.7167
30,"Patchogue (NY)",-73.0151,40.7657
31,"Bergama (Turkey)",27.1805,39.1207
32,"Punta Cana (Dominican Republic)",-68.4043,18.5818
33,"Pucon (Chile)",-71.9543,-39.2822
34,"Ras al-Khaimah (United Arab Emirates)",55.9428,25.7911
35,"Acapulco (Mexico)",-99.8901,16.8634
36,"Alice Springs (Australia)",133.883,-23.7
37,"San Pedro de Atacama (Chile)",-68.2167,-22.9167
38,"Kips Bay (NYC)",-73.9771,40.7395
39,"Lhasa (Tibet)",91.1,29.65
40,"Philadelphia (Pa)",-75.1638,39.9523
41,"Seattle (Wash)",-122.332,47.6062
42,"Gori (Georgian Republic)",44.1111,41.9736
43,"Leavenworth (Wash)",-120.661,47.5962
44,"Belfast (Northern Ireland)",-5.93333,54.6
45,"El Chalten (Patagonia)",-72.93,-49.3286
46,"Hyderabad (India)",78.4744,17.3753
47,"Salida (Colo)",-105.999,38.5347
48,"Huntington Station (NY)",-73.4115,40.8534
49,"Plainsboro (NJ)",-74.6004,40.3334
50,"Mahmudiya (Iraq)",44.3675,33.0696
51,"Munich (Germany)",11.5755,48.1374
52,"Copenhagen (Denmark)",12.5709,55.6777
53,"Falls Village (Conn)",-73.3632,41.9559
54,"Bristol (England)",-2.58333,51.45
55,"Niagara-on-the-Lake (Ontario)",-79.0663,43.2501
56,"Melbourne (Australia)",144.963,-37.814
57,"Scottsdale (Ariz)",-111.899,33.5092
58,"Cairo (Egypt)",31.25,30.05
59,"Guimaraes (Portugal)",-8.3,41.45
60,"Beijing (China)",116.397,39.9075
61,"Mogadishu (Somalia)",45.3419,2.03914
62,"Milford (Pa)",-74.8024,41.3223
63,"Rochester (NY)",-77.6156,43.1548
64,"Bath (England)",-2.36556,51.3794
65,"Timbuktu (Mali)",-3.00742,16.7735
66,"Red Bank (NJ)",-74.0643,40.3471
67,"North Stonington (Conn)",-71.8812,41.4409
68,"Dubai (United Arab Emirates)",55.28,25.2522
69,"Naples (Italy)",14.25,40.8333
70,"Kuala Lumpur (Malaysia)",101.7,3.16667
71,"Lower East Side (NYC)",-73.9868,40.7161
72,"Pyongyang (North Korea)",125.755,39.0194
73,"Homer (Alaska)",-151.548,59.6425
74,"Haditha (Iraq)",42.3781,34.1397
75,"Calcutta (India)",88.3697,22.5697
76,"Seoul (South Korea)",127,37.5664
77,"Brisbane (Australia)",153.028,-27.4679
78,"Nassau (Bahamas)",-77.35,25.0833
79,"Monteverde (Costa Rica)",-83.4333,10.1
80,"Antwerp (Belgium)",4.41667,51.2167
81,"Nagasaki (Japan)",129.868,32.755
82,"Bayreuth (Germany)",11.5783,49.9481
83,"Lecce (Italy)",18.172,40.357
84,"Punta Gorda (Fla)",-82.0454,26.9298
85,"San Antonio (Tex)",-98.4936,29.4241
86,"Ayacucho (Peru)",-74.2239,-13.1583
87,"Roosevelt Island (NYC)",-73.9482,40.764
88,"Juarez (Mexico)",-106.483,31.7333
89,"Edirne (Turkey)",26.556,41.6772
90,"Parma (Italy)",10.329,44.8027
91,"Bay Ridge (NYC)",-74.0146,40.634
92,"New Milford (Conn)",-73.4085,41.577
93,"Jena (LA)",-92.1337,31.6832
94,"Prospect Heights (NYC)",-73.9677,40.6775
95,"Piermont (NY)",-73.9182,41.042
96,"Sleepy Hollow (NY)",-73.8585,41.0857
97,"Santiago de Cuba (Cuba)",-75.8219,20.0247
98,"Bodrum (Turkey)",27.4292,37.0383
99,"Norfolk (Va)",-76.2852,36.8468
100,"Chinatown (NYC)",-73.9963,40.7165
101,"Oxford (Conn)",-73.1168,41.434
102,"Quito (Ecuador)",-78.5,-0.216667
103,"Alajuela (Costa Rica)",-84.2167,10.0167
104,"Sacramento (Calif)",-121.494,38.5816
105,"Orleans (Mass)",-69.9897,41.7898
106,"Tours (France)",0.683333,47.3833
107,"Rovinj (Croatia)",13.64,45.08
108,"Montauk (NY)",-71.9545,41.0359
109,"Basra (Iraq)",47.8192,30.4942
110,"Lucca (Italy)",10.5058,43.8436
111,"St Petersburg (Russia)",30.2642,59.8944
112,"Curitiba (Brazil)",-49.2731,-25.4278
113,"Deauville (France)",0.069952,49.357
114,"Danang (Vietnam)",108.221,16.0678
115,"Provincetown (Mass)",-70.1786,42.0584
116,"Eilat (Israel)",34.9517,29.5611
117,"Vientiane (Laos)",102.6,17.9667
118,"Brooklyn Heights (NYC)",-73.9943,40.6977
119,"Varanasi (India)",83,25.3333
120,"Ludlow (Vt)",-72.7007,43.3959
121,"Sag Harbor (NY)",-72.2926,40.9979
122,"Killarney (Ireland)",-9.51667,52.05
123,"Battery Park City (NYC)",-74.0163,40.7115
124,"Milwaukee (Wis)",-87.9065,43.0389
125,"Zurich (Switzerland)",8.55,47.3667
126,"Indianapolis (Ind)",-86.158,39.7684
127,"Belgrade (Serbia)",20.4681,44.8186
128,"Cortona (Italy)",11.9853,43.2747
129,"Frankfurt (Germany)",8.68333,50.1167
130,"Padua (Italy)",11.8818,45.4152
131,"Estoril (Portugal)",-9.39773,38.7057
132,"Mumbai (India)",72.8479,19.0144
133,"Kent (Conn)",-73.4771,41.7248
134,"Casablanca (Morocco)",-7.61,33.59
135,"Portland (Me)",-70.2553,43.6615
136,"Jersey City (NJ)",-74.0776,40.7282
137,"Millau (France)",3.08333,44.1
138,"Laguna Beach (Calif)",-117.783,33.5422
139,"Tallinn (Estonia)",24.7535,59.437
140,"Myrtle Beach (SC)",-78.8867,33.6891
141,"New Rochelle (NY)",-73.7824,40.9115
142,"Saas-Fee (Switzerland)",7.93488,46.1135
143,"Orvieto (Italy)",12.1116,42.7195
144,"Raleigh (NC)",-78.6386,35.7721
145,"Kinsale (Ireland)",-8.53056,51.7075
146,"Sydney (Australia)",151.207,-33.8679
147,"Rincon (Puerto Rico)",-67.2499,18.3402
148,"Cirencester (England)",-1.98333,51.7333
149,"Quebec City (Quebec)",-71.2145,46.8123
150,"New Castle (Del)",-75.5663,39.6621
151,"Hong Kong",114.15,22.284
152,"Granada (Nicaragua)",-85.95,11.9333
153,"Pawtucket (RI)",-71.3826,41.8787
154,"Seward (Alaska)",-149.442,60.1042
155,"Ankara (Turkey)",32.8644,39.9272
156,"Saugatuck (Mich)",-86.202,42.655
157,"Auxerre (France)",3.56667,47.8
158,"Szeged (Hungary)",20.1482,46.253
159,"Verona (Italy)",10.9978,45.4342
160,"Caracas (Venezuela)",-66.9167,10.5
161,"Carnac (France)",-3.08333,47.5833
162,"Kyoto (Japan)",135.754,35.0211
163,"Baden-Baden (Germany)",8.25,48.75
164,"Weimar (Germany)",11.3167,50.9833
165,"Oranienburg (Germany)",13.2333,52.75
166,"Kunming (China)",102.718,25.0389
167,"Salt Lake City (Utah)",-111.891,40.7608
168,"L'Aquila (Italy)",13.3995,42.3506
169,"Monterey (Calif)",-121.895,36.6002
170,"Sofia (Bulgaria)",23.3241,42.6975
171,"Tikal (Guatemala)",-89.6133,17.225
172,"San Francisco (Calif)",-122.419,37.7749
173,"Toulouse (France)",1.44367,43.6043
174,"Doha (Qatar)",51.5333,25.2867
175,"Ashgabat (Turkmenistan)",58.3833,37.95
176,"Sucre (Bolivia)",-65.2592,-19.0431
177,"Madison (Wis)",-89.4012,43.0731
178,"Madrid (Spain)",-3.70256,40.4165
179,"Isla Mujeres (Mexico)",-86.7311,21.2311
180,"Puntarenas (Costa Rica)",-84.8384,9.97625
181,"San Sebastian (Spain)",-1.97499,43.3128
182,"Scarsdale (NY)",-73.7846,41.0051
183,"Alkmaar (Netherlands)",4.74861,52.6317
184,"Islip (NY)",-73.2104,40.7298
185,"Santa Fe (NM)",-105.938,35.687
186,"Matsumoto (Japan)",137.967,36.2333
187,"Hermanus (South Africa)",19.2333,-34.4167
188,"Bamberg (Germany)",10.8667,49.8667
189,"Cochabamba (Bolivia)",-66.15,-17.3833
190,"Qum (Iran)",50.8808,34.6453
191,"Nafplio (Greece)",22.8075,37.5636
192,"Bilbao (Spain)",-2.92528,43.2627
193,"Tokyo (Japan)",139.692,35.6895
194,"Rawalpindi (Pakistan)",73.0667,33.6
195,"Dubrovnik (Croatia)",18.0922,42.6481
196,"Bonn (Germany)",7.1,50.7333
197,"Biarritz (France)",-1.56667,43.4833
198,"Mendocino (Calif)",-123.799,39.3077
199,"Amsterdam (Netherlands)",4.8999,52.3731
200,"Hell's Kitchen (NYC)",-73.9954,40.7573
201,"Yangon (Myanmar)",96.1561,16.8053
202,"Charlotte Amalie (Virgin Islands)",-64.9307,18.3419
203,"Cortina d'Ampezzo (Italy)",12.1489,46.5361
204,"Hoffenheim (Germany)",8.85,49.2667
