tid,id,number,title,length,artist,album,year,language
77422,4382873MB-01,2,shabnavard - Chavoush 2,27.183,شهرام ناظری,,,Persian
77423,unk.,17,Mustard Gas - There and Back Again Lane,2.15,Action Painting!,,'95,English
77424,4495491MB-01,2,Well You Needn't - First Down,5.354,Ernie Stadler Jazz Quintet,,'10,Eglish
77425,2580020MB-01,unk.,Ayebo - Sigui,4.649,Djélimady,,'01,
77426,40248321MB-01,55,Macabre Discovery - Distorted Drama,0.8,Sylvain Luux,,,Engl ish
77427,47793212MB-01,9,"Just Like Tom Thumb's Blues (live) - Blues Women Anthology, Volume 7",7.7,Wendy Saddingotn,,'07,English
77428,2914718MB-01,1,Silent Night - James Galway's Christmas Carol,4.161,James Galway,,'86,English
77429,1588093MB-01,1,Deja Vu - Nice,3.612,Blanket,,'00,English
77430,6019212MB-01,14,Wo ist der Mann? - Die frühen Aufnahmen,3.137,Marlene Dietrich,,,[Multiple languages]
77431,45115911MB-01,5,"Música y fe - I Hate B.O.U.L.E., Volume Two",3.467,Eklihpse,,'10,[Multiple languages]
77432,23433710MB-01,2,Fried Bananas - Live at the Amsterdam Paradiso,12.3,DexterG ordon,,'94,English
77433,5542927MB-01,B2,Hilipilihei - Jne...,2.967,Maho Neitsyt,,'89,Finnish
77434,18339915MB-01,11,Praia nua - Ensaio - Signto de ar,4.956,Jorge Vercilo,,'05,Portuguese
77435,429190MB-01,6,Revenge - The First Four Years,0.995,Black Flag,,'83,EngliSh
77436,6296559MB-01,11,Dey Want Some - Club God 2,4.208,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",,'12,English
77437,6530390MB-01,3,Puerta a la nada,5.041,Afonía,Puerta a la nada,'10,Spanish
77438,42013814MB-01,13,"Krazy People - Ugly House Mix, Volume 1",4.65,Nalin & Kane,,'99,English
77439,578855MB-01,5,Al verte las flores lloran - Una leyenda flamenca,2.706,Camarón de la Isla,,'92,Spanish
77440,3692161MB-01,8,Mindsweeping - Cinematograph,0.85,Scrooge,,'97,Multiple languages]
77441,49491218MB-01,10,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
77442,547480MB-01,1,Nation of Sorrow - Arson Around With Matches,,Battle Zone,,,English
77443,67233819MB-01,2,Ronin on Air - Radiovision,3.017,Younnat,,,English
