tid,id,number,title,length,artist,album,year,language
38787,MBox36398328-HH,11,Silver Forest - 双剣乱舞 みょん＆me,229,,Silver Forest 2006-2012 BEST1,12,Japanese
38788,MBox17107012-HH,3,,159,,How Cool Is That Christmas (Rachael Ray),,English
38789,MBox9589118-HH,9,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
38790,MBox30561822-HH,6,Chris Rea - Somewhere Between the Stars,399,,Santo Spirito Blues,11,English
38791,MBox12885814-HH,2,Flunk - Blue Monday,255,,For Sleepyheads Only,02,English
38792,MBox1859256-HH,1,The Pentangle - Cuckoo Song,178,,Live at the BBC: On Air,95,English
38793,MBox6346918-HH,2,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,null
38794,MBox2580928-HH,41,Michael Rudy Guess & Danny Pelfrey - Rock Cylinder,31,,Metal Dog,,English
38795,MBox15250818-HH,12,"Michael Ernst with Alan Parsons & Chris Thompson - Part of Me, Part of You",275,,Excalibur,03,Englis
38796,MBox23884722-HH,9,"Max Bruch - Vioolconcerto, ""Finale: Allegro energico""",428,,Klara Top 75: 2009,09,[Multiple languages]
38797,MBox13556620-HH,8,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
38798,MBox30985734-HH,12,Domenico Modugno - La distancia es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
38799,MBox32784317-HH,6,Azusa Plane - Death of a Microphone,603,,Where the Sands Turn to Gold,12,English
38800,MBox11721618-HH,5,Ella Fitzgerald - Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,402,,30 by Ella,99,English
38801,MBox42285135-HH,B1,Uriah Heep - Southern Star,266,,Into the Wild,11,English
38802,MBox4192023-HH,6,Noelle Hampton - Murder & Mayhem,386,,Under ThesGe Skies,,English
38803,MBox22946115-HH,3,Herwig Mitteregger - Jedesmal,277,,Jedesmal,87,German
38804,MBox21548433-HH,5,Telvin - Nefes (live in Bodrum),420,,Telvin,06,Turkish
38805,MBox22035818-HH,53,マリア starring 田中理恵 - 慈愛の言葉集/日常会話篇,6,,「ハヤテのごとく!」-キャラクターCD-2,07,Japanese
38806,MBox6625731-HH,13,Bantha Fodder - The Front,185,,Punk You!,99,English
38807,MBox37389215-HH,75,Doris Day - Everywhere You Go,143,,The Ultimate Collection - 125 Original Recordings,,null
38808,MBox22102430-HH,4,Revolution other - Ride the Sky,129,,Rollin' With Tha Mutha,09,English
38809,MBox17716433-HH,14,André Hazes - Ik ben een gokker,190,,De Hazes 100: Van de fans - Voor de fans,06,Dutch
38810,MBox14572224-HH,15,Connie Smith - The Hurtin's All Over,171,,Country USA: 1966,91,English
38811,MBox30104634-HH,4,부활슬픈사슴,264,,Best 이솝의붓,96,Korean
38812,MBox13968927-HH,3,Mind the Gap - According to Me,null,,Make All the Kids Cry,05,[Multilpe languages]
38813,MBox22575911-HH,null,The The Kids - We Are the Prisoners,104,,Anthology,07,English
38814,unk.,5,Ted Nugent - Call of the Wild,288,,Out of Cntrol,93,English
38815,MBox2279953-HH,7,The Mulcahy Family - Junior Crehan's / Junior Crejan's (flings),179,,The Mulcahy Family,00,nEglish
38816,MBox36292431-HH,2,Kadri Savva - Jõuluõhtu mõtisklus,null,,Võlu aeg,11,Estonian
