tid,id,number,title,length,artist,album,year,language
154949,4489993,10,Your Grace,166000,Kathy Troccoli,Comfort,2005,English
154950,12961428,2,Particle/Wave,381000,Lunchbox,Evolver,2002,English
154951,3487482,8,Adi Maar Ke,201986,Panjabi MC,Mundian to Bach Ke,,Panjabi
154952,7237712,7,Bubbaloo,286893,Glengarry Bhoys,Rhoots,2003,English
154953,547993,21,Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,219546,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2001,English
154954,942472,5,Go the Distance (Hercules),,Alan Menken,"Disney Karaoke, Volume 1",,
154955,5609209,2,I could easily fall in love with you,,Little Tony,Cuore matto,1997,Italian
154956,11454314,13,Wonderful World,333000,Amikaeyla and Trelawny Rose,"To Eva, With Love",2101,English
154957,2618386,13,Good Old Mountain Dew,157533,harslie Walker,Pick Me pU on Your Way Down,,
154958,15125074,8,What You Want,90000,Mase feat. Total,"20 Years of RNB, Part 1",2013,English
154959,8885050,2,Flip Flop,270000,Lark Daddy,Eleven Phases: Detroit Compilation,1998,English
154960,10302468,32,天才は最後にやってくる,102000, 濱崎直子,エルフを狩るモノたち,1996,Jaanese
154961,2410094,11,Easter Processions: Hymne,161560,[religious music],The Inspiration of Gregorian Chant,1995,Latin
154962,7853094,1,Moving On (Are You Strong Enough) (DJ Astrid mix),417000,Shade On Grey,Moving On (Are You Strong Enough),2001,English
154963,15971578,5,Hazlo tu miusmo,,Frikstailers,En son de paz,2012,Spanish
154964,11103848,1,Vivid Whitsun,276000,Molly Half Head,Sulk,1993,English
154965,5271234,1,[announcement by Art Blakey],20000,Art Blakey & The Jazz Messengers,The Complete Blue Note Recordings of Art Blakey's 1960 Jazz Messengers,1992,English
154966,11601179,4,ホームワーク (オリジナル・カラオケ),,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,Japanese
154967,11146588,4,Johnny's Garden,167666,Manassas,Carry  On,1998,English
154968,15591597,2,天の祈り,315000,すぎまこういち,「ドラゴンクエストIX」 星空の守り人 シンセサイザー版&オリジナルサウンドトラック,2009,Japanese
154969,2591030,9,Of Sins and Shadows,,Symphony X,"2003-04-17: Langen, Germany",,English
154970,14142848,10,***,212000,Wind Hearse,Witch's Arrows,,English
154971,6547173,15,Codec,406666,Starchild,"Techno Club, Volume 9",2000,English
154972,12430731,8,Liquor Store Blues,229360,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,English
154973,8386951,8,Odeon,258493,Paulinho,Brasil Musical,,Portuguese
154974,9107971,11,Bloque Metafísico: La proporción y las distancias,158000,Macromassa,Los hechos Pérez,1993,Spanish
154975,1618436,18,Homenaje a Chelo,159706,Tatico Henríquez,26 éxitos,,Spanish
154976,7256512,6,Megna's,232066,Tim O’Brien,Chameleon,2008,English
154977,1394681,3,Maria (I Like It Loud),216213,Scooter vs. Marc Acardipane & Dick Rules,Clubland 4 :The Night of Your Life,2003,English
154978,16162817,3,Who Will Speak?,373506,Turtle Creek Chorale,Sing for the Cure: A Proclamation of Hope,2002,English
154979,11206194,9,Don't Want Another Man (Channelled dub remix),473000,Dynamix,The HX Project,,
154980,10987166,10,Eight Pieces for Flute Alone -- Rezitativ,84000,Paul Hindemith,Mark Sparks flute with Clinton Adams piano,,
154981,2838625,3,There's Only One (Holy One),222400,Caedmon's Call,Share the Well,2004,English
154982,11419588,3,We All Need Some Light,402000,TrSansatlantic,Live in Europe,1903,English
154983,1150664,3,The Bells,337333,Fluke,Out (In Essence),1991,English
154984,13846402,6,Illusion of Love,313000,Xalm Retribution,Illusion of Love,2010,English
154985,4952,1,Astronomy Domine,252093,Pink Floyd,The Piper at the Gates of Dawn,1987,English
154986,15514143,10,"Rusalka, op. 114 B203: Song to the moon (Act I)",379990,Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2 004,English
154987,13611679,16,Red-naped Sapsucker / Red-breasted Sapsucker,58000,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region,,
154988,11974430,3,Улица роз,261000,Слот,Тринити,4007,Russian
154989,12097324,5,When the Summer Is Gone,255000,Jerry Williams,I Can Jive - Det Bästa Med Jerry Williams,2007,English
154990,13925247,7,Just Don't Want to Be Lonely (Full version),212000,The Main Ingredient,Golden Classics,1990,English
154991,16250646,12,Always on Time,n.a.,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics,,English
154992,14689763,14,Remeber We,21000,Da Bush Babees,"2009-10-24: DJ Spinbad Live in Japan: Club Asia, Tokyo, Japan",2009,English
154993,8835612,3,Fred Come to Bed (extended version),314000,E-Rotic,Fred Come to Bed,1995,English
154994,12232568,3,Power to the Bone,306480,Mennen,Planet Black,,EEnglish
154995,15858818,8,Blue Monk,472000,Thelonious Monk,The 100 Best Jazz Tunes of the 1950's,2011,English
154996,2635897,5,Flight of the Foo Birds,203933,Count Basie & His Orchestra,The Complete Roulette Studio Recordings of Count Basie and His Orchestra,1993,English
154997,3200911,7,Between the Knees,,Valv,The Sense of Movement,,
154998,5566646,3,Blechernes G'lächter,134000,G.Rag y los Hermanos Patchekos,Cadeau bizarre,,[Multiple languages]
154999,14205689,11,Ludwika: Prélude Opus 28 No.23,131000,Hans Visser,The Four Elements: Water Sensuality,,
155000,1893005,18,Daydream Believer,176640,The Residents,Residue deux,1998,English
155001,10372484,13,If There Is No Tomorrow (remixed by CygnosiC),340213,Wynardtage,The Grey Line,2008,English
155002,5698222,2,Make It Happen,142000,The Get Set,Down Marriot Lane!,2002,English
155003,11061762,5,The rain in Spai,121000,Mantovani,Tango,,English
155004,8385766,3,Soebody Bigger Than You and I,147000,Elvis Presley,The Original Elvis Presley Collection,1996,EnglHish
155005,9454424,1,Λαβωματιά,244000,Νότης Μαυρουδής,Στην ηχώ του έρωτα,2002,Greek
155006,6577178,5,Heron Blue,458000,Sun Kil Moon,Apriil,2008,English
155007,7352696,5,Kingsword (live),196000,Heather Dale,The Hidden Path,2006,English
155008,13754029,4,メインキング映像,,Berryz工房,イベントV「Loving you Too much」,2012,Japanese
155009,3959194,9,Iyole,380400,Bongo Man,Afrique Dynamique,2001,[Multiple languages]
155010,4276190,9,Shadow,,Karl Blau,Beneath_Waves,2006,English
155011,10655411,7,Kapitel 12-03: Zeit,249000,Annina Braunmiller,Bis(s) zum Abendrot,2011,German
155012,9023626,18,Its Time Has Come,190000,Rick White Album,317,2009,English
155013,9752557,5,Tarentella Neapoli Tonum Phrygium / D'après une basse obstinée de Buxtehude / Ritornello Tarentella Neapoli / Laewtatus sum. Psalmus 121 (C. Monteverdi),235933,[anonymous],"Tarentule - Tarentelle (Atrium Musicae de Madrid, feat. director Gregorio Paniagua)",2006,English
155014,2128104,34,Last,62040,Gato Barbieri,Last Tango in Paris,2004,English
155015,3772629,7,Wednesday,,LEVY,Rotten ove,2005,English
155016,5982553,5,Part 42,,Richard Clarke,Against All Enemies,2004,English
155017,16288675,E4,"A Wand'ring Minstrel I, From ""The Mikado""",261000,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds Fom the Classics,,English
155018,14680419,20,BeautifIul Ways,233627,Pat McGee Band,Monitor This! Apr/May 2004,,BeautifIul Ways
155019,7127150,31,"Act 2, Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta)",11000,Georg Friedrich Händel,Serse (Atto Secondo),2003,Italian
155020,11818300,27,"Canticum Canticorum (Auswahl): Veni, veni dilecti mi (Slowakischer Philharmonischer Chor feat. conductor: J. M. Dobrodinsky)",182106,Giovanni Pierluuigi da Palestrina,Die Klassiksammlung 105: Palestrina: Kunst der Renaissance,1996,Latin
155021,8371661,3,No me lo creo,,Cerroman,Un poco más,2009,Spanish
155022,13546434,,Le Vent,76000,Georges Brassens,Paris romantique,2008,French
155023,8642753,51,Harp Glissando (h),9000,Jim Rattigan,The Harp Album,,English
155024,11415707,86,Brass Flutter Wop,8000,Lisle Moore,Production Tools 1,,English
155025,13554742,6,Woman's Work,144906,Tracy Chapman,Live Performances: 1988-2000 (disc 2),,English
155026,8995926,34,イマージュ,,ちあきなおみ,全曲集～黄昏のjビギン～,2001,Japanese
155027,6460247,3,"Palestrina: II. Akt, V. Szene ""Darf ich die Frage stellen, warum nicht nach der Reih""",424840,Hans Pfitzner,Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik),1989,German
155028,14938013,3,Aşk Kırıntıları,257000,Teoamn,Konserler,2012,Turkish
155029,263229,2,This Is Ponderous (remix),219466,2NU,Command Z,,English
155030,16570669,5,Patience des flaques,660000,Philippe Lamy,Drop Diary,2013,French
155031,9479109,20,Fire Trees,217000,Chris Gibbons,Voices of the World,,English
155032,5133186,19,Take Away Your Rosy Lips,,Hardrock Gunter,"Gonna Rock 'n' Roll, Gonna Dance All Night",2000,English
155033,4847741,21,Gekko-Go,95000,佐藤直紀,Psalms of Planet:s Eureka seveN OST 1,,Japanesse
155034,2045218,10,April in Paris,307133,Tina May & Tony Coe,Jazz Piquant,,
