tid,id,number,title,length,artist,album,year,language
0,WoM186470,011,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",04:04,Max Bruch,"The Classical Album, Volume 1",1996,
1,WoM109609,021,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
2,null,008,Outro (Working Title),01:26,FeSo,Working Title,2011,
3,WoM30789732,003,10cm,03:45,Anemone,10cm,2013,
4,WoM16891123,010,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",2002,
5,WoM5835623,016,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
6,WoM11218425,002,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,
7,WoM21753926,013,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,
8,WoM25955420,043,Style Talks (g) (link) (Swing of the City),00:09,Keith Mansfield,Swing of the City,,
9,WoM843641,011,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,
10,WoM5378731,001,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
11,WoM1603756,003,Bring Back the Love (Spaced Out dub),00:00,Laura Harris,Bring Back the Love,1998,
12,WoM2592084,001,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,
13,WoM27184945,007,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",06:43,Skatebård,"Remix You, Remix Me",2010,
14,WoM22505245,005,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,2007,
15,WoM16015840,008,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,
16,WoM14351539,006,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",02:40,Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",1957,
17,WoM1739924,013,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),00:50,Jimmy Buffett,Don't Stop the Carnival,1998,
18,WoM26714621,011,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
19,WoM7714747,002,The Power of Love (Rob Searle club mix),08:40,Frankie Goes to Hollywood,The Power of Love,1990,
20,WoM13152416,003,War (Art of War),03:57,AG & Party Arty,Art of War War,2002,
21,WoM16870626,010,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),03:35,FallOutBoy,Now That's What I Call Music 26,2008,
22,WoM10438549,009,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",04:25,Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,
23,WoM23202345,004,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),00:00,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,
24,WoM15108710,010,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),03:19,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1994,
25,WoM3113 6821,001,Semblance (Portrait in Sound),03:21,Klaus Suonsaari,Portrait in Sound,,
26,WoM7764848,003,Evolution Fight (Creating Your New Environment),03:19,CYNE,Creating Your New Environment,2005,
27,WoM6829616,012,A csend (A hold szerelme),02:56,Tátrai Band,A hold szerelme,1995,
28,WoM24861447,008,Liquor Store Blues (Doo-Wops & Hooligans),03:49,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,
29,WoM224899,007,Confession (Always Around),04:11,Jack Radics,Always Around,,
30,WoM15831542,9,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),00:32,Steen1,Runoja kontrollihuoneesta,2009,
31,WoM25922844,002,Particle/Wave (Evolver),06:21,Lunchbox,Evolver,2002,
32,WoM436798,006,You (Russian Doll),04:59,Violet Indiana,Russian Doll,2004,
33,WoM14513028,006,Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,2008,
34,WoM26546323,001,Voodoo Lovers (Hurricäde),01:51,Hurricäde,Hurricäde,2008,
35,WoM16706148,003,We Are the Prisoners (Anthology),01:44,Kids,Anthology,2007,
36,WoM21893732,002,Watermusic Suite: Adagio e staccato (Watermusic Suite / Music of the Royal Fireworks),02:25,George Frideric Handel,Watermusic Suite / Music of the Royal Fireworks,,
37,WoM4706821,001,Nattestid ser porten vid 1 (Nattestid…),05:56,Taaake,Nattestid…,2007,
38,WoM25542945,012,Ritardo mestruale (...Se non avrei fatto il cantande),03:08,Checco Zalone,...Se non avrei fatto il cantande,,
39,WoM24455022,001,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro (Frühe Symphonien)",03:05,Wolfgang Amadeus Mozart,Frühe Symphonien,1991,
40,WoM3102839,010,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",06:20,Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2004,
41,WoM2327176,018,Amanhã Vazio (Nosso Amor Já Era),00:00,Hugo Pena & Gabriel,Nosso Amor Já Era,2011,
42,WoM1149708,010,Ultimate Angels (The Distance Between),02:27,Strange Advance,The Distance Between,,
43,WoM5976121,006,I Don't Want to Say Goodbye (Sing the Very Best of Wendy Craig),04:40,Fat and Frantic,Sing the Very Best of Wendy Craig,,
44,WoM18908840,001,Λαβωματιά (Στην ηχώ του έρωτα),04:04,Νότης Μαυρουδής,Στην ηχώ του έρωτα,2002,
45,WoM1900538,001,On a Clear Day (Kiki's Delivery Service)),02:16,久石譲,Kiki's Delivery Service,,
46,WoM22652212,010,Origines (Raï'n'b Fever 3),00:00,Mélissa M & Amine,Raï'n'b Fever 3,2008,
47,WoM4693813,007,Evil Evol (Positivity),02:48,Power of Dreams,Positivity,null,
48,WoM7918410,009,Iyole (Afrique Dynamique),06:20,Kanda Bongo Man,Afrique Dynamique,2001,
49,WoM11294549,008,CC Rider (Bare Tracks),04:35,Honeyboy Hickling,Bare Tracks,,
50,WoM9087029,001,Nav' Nav' in Ou Wells),02:25,Drudkh,Blood in Our Wells,,
51,WoM1474920,003,Vengo a Dicer (Vengo a Decir),05:04,Andy,Vengo a Decir,1995,
52,WoM11514842,002,ピンぼけ (渋滞ぬけみちなし),00:00,高田梢枝,渋滞ぬけみちなし,2004,
53,WoM8674013,004,If I Gave My Heart to You / Once in a While / Ebb Tide / The Lamp Is Low / Where Are You / Thinking of You (30 by Ella),11:10,Ella Fitzgerald,30 by Ella,1999,
54,WoM13448646,010,In My Lifetime (My Promise to the Game in My Lifetime),04:26,Soulja Flow,My Promise to the Game in My Lifetime,2000,
55,WoM36412,002,"Diamond Head (History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story)",01:57,Lost Souls,"History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story",1994,
56,WoM7696836,014,"Gorrendously Mutilated (BBestial Machinery Discography, Volume 1)",00:52,Agoraphobic Nosebleed,"Bestial Machinery Discography, Volume 1",2005,
57,WoM21695927,007,Ya están aquí (Libertad / Hambre / Historia),03:06,Hablando en Plata Squad,Libertad / Hambre / Historia,2009,unknown
58,WoM1907627,019,"[silence] (Monsters, Lullabies ... and the Occasional Flying Saucer)",00:01,Phono-Comb & Jad Fair,"Monsters, Lullabies ... and the Occasional Flying Saucer",1996,
59,WoM27825513,016,Billie Jean (Dancemania BASS #6),02:25,XL Dog,Dancemania BASS #6,,
