tid,id,number,title,length,artist,album,year,language
7760,49425110MB-01,6,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
7761,4763264MB-01,6,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
7762,50116112MB-01,9,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
7763,5235450MB-01,13,Mu sõber tuul - Uus Laine,4.567,Laine,,'00,Estonian
7764,23433710MB-01,2,Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,,'94,English
7765,4602838MB-01,5,Bury Me (demo) - Finch,3.833,Finch,,'08,English
7766,17615719MB-01,5,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,Jerry Rivera,,'97,Spanish
7767,50078912MB-01,7,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
7768,1872805MB-01,6,Le Marchand de Poisson - Planet Jazz,2.895,Sidney Bechet,,,[Multiple languages]
7769,2382778MB-01,1,"Mind 2 Motion - Bluffers Guide, Volume 6",4.722,Roots Manuva,,'05,English
7770,57275714MB-01,2,Who Dat Girl (Promise Land club mix),5.417,Flo Rida feat. Akon,Dat Girl,'10,English
7771,59278315MB-01,13,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,,'01,English
7772,1544268MB-01,4,Got to Hurry (take 4) - The Yardbirds Story,2.609,Yardbirds,,'02,English
7773,3692161MB-01,8,Mindsweeping - Cinematograph,0.85,Scrooge,,'97,[Multiple languages]
7774,49491218MB-01,10,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
7775,17499613MB-01,3,Little for a Lot - Four Winds the Walker,4.359,Spires That in the Sunset Rise,,'05,English
7776,69351622MB-01,4,The Solid Rock - World's Greatest Praise & Worship,3.1,Edward Mote & William B. Bradbury,,,English
