tid,id,number,title,length,artist,album,year,language
15547,4489993,10,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
15548,10339621,2,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
15549,10992441,9,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
15550,15761001,4,Στα καμένα,195000,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek
15551,855829,6,,188400,Anathema,Alternative 4,1998,English
15552,8987422,23,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
15553,12319476,16,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
15554,12056183,5,En dless Love,26 6000,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English
15555,10346140,13,Tuning,78000,The Doros,Live in Vancouver 1970,2010,English
15556,808715,4,Thunder Underground,388826,Ozzy Osbourne,Ozzmosis,2002,English
15557,14125370,7,闇に笑ふ,69000,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese
15558,3223149,6,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
15559,2618386,13,Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,,
15560,5441817,3,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
15561,6963159,11,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
15562,5422406,20,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
15563,4113151,18,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
15564,9304319,33,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
15565,10047002,67,,30000,Stephan Sechi,Funk,,English
15566,3246316,4,Ten Million Teardrops,195466,Jason McCoy,Honky Tonk Sonatas,2001,English
15567,1915738,4,Red Chips,330946,,The Working Model (Reverse),2003,English
15568,14310775,A3,La Fessée,267693,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French
15569,15463786,2,Ronin on Air,181000,Younnat,Radiovision,,English
15570,7972929,5,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
15571,13357305,11,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
