tid,id,number,title,length,artist,album,year,language
11686,139137-A047,7,007,1m 58sec,[unknown],Cantigas de roda (unknown),null,Por.
11687,182555-A056,2,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),null,Eng.
11688,51445-A041,1,001-Deja Vu,3m 36sec,Blanket,Nice (2000),null,ng.
11689,231700-A015,19,019-Feeling Good,2m 55sec,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters (2000),null,Eng.
11690,131573-A04,1,00-1,3m 52sec,, (2010),null,Jap.
11691,88781-A026,11,011- ,3m 41sec,   ,  (1973),null,Heb.
11692,138087-A067,16,016-Action (interlude),0m 41sec,Hell,Teufelswerk (2009),null,Eng.
11693,222683-A055,6,007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),null,Eng.
11694,203973-A017,11,011-Dey Want Some,4m 12sec,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2 (2012),null,Eng.
11695,88489-A06,12,012-Lullabye,3m 51sec,null,lovetheonlyway (2002),null,Eng.
11696,88219-A058,11,011-Der Weg Zum Licht,7m 9sec,Nihilistic Front,Mia Runa (2005),null,Eng.
11697,203859-A027,20,020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),null,n.a.
11698,61084-A067,6,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),null,Eng.
11699,97860-A037,1,001-Berimbou,2m 23sec,Astrud Gilberto,Look to the Rainbow (2008),null, Eng.
11700,18751-A065,5,005-Al verte las flores lloran,2m 42sec,Camaron de la Isla,Una leyenda flamenca (1992),null,Spa.
11701,122115-A032,6,006-My Pretty Pecker,unknown,Dr. Dre Del,Dr Dre Del's Mic of Defiance (1999),null,Eng.
11702,21846-A018,6,006-Murder & Mayhem,6m 26sec,Noelle Hampton,Under  These Skies (unknown),null,E.
11703,34732-A08,5,005-Put Me Back Together,2m 57sec,Drive Like You Stole It,Frequency (unknown),null,Eng.
11704,33945-A032,11,011-Easter Processions: Hymne,2m 41sec,[religious music],The Inspiration f Gregorian Chant (1995),null,Lat.
11705,,5,005-Piranhes,5m 12sec,Rattler,Demo 2012 (unknown),null,Eng.
11706,79094-A031,3,003-Jayne,3m 37sec,Stereophonics,The Sunday Times: The State of Independence - V2 (2007),null,Eng.
11707,17735-A045,1,001-Nation of Sorrow,unknown,Battle Zone,Arson Around With Matches (unknown),null,Eng.
11708,162002-A027,22,022-Over There Story,unknown,Kruger Brothers,Carolina Scrapbook (1999),null,
